country_code,ID,family_importance,friends_importance,leisure_importance,work_importance,freedom,life_satisfaction,financial_satisfaction,religiousity,political_scale,sex,birthyear,age,marital_status,employment
CAN,124075384,1.0,2.0,2.0,3.0,7.0,7.0,6.0,An atheist,3.0,Male,1943.0,76.0,Married,Retired/pensioned
CAN,124075385,1.0,1.0,1.0,1.0,7.0,7.0,8.0,Not a religious person,5.0,Male,1990.0,29.0,Married,Full time
CAN,124075386,1.0,1.0,1.0,1.0,9.0,5.0,2.0,A religious person,5.0,Male,1972.0,48.0,Separated,Unemployed
CAN,124075388,1.0,1.0,1.0,1.0,7.0,7.0,5.0,A religious person,5.0,Male,1981.0,38.0,Divorced,Full time
CAN,124075389,1.0,1.0,1.0,2.0,10.0,8.0,7.0,A religious person,5.0,Female,1980.0,39.0,Married,Full time
CAN,124075390,1.0,1.0,1.0,2.0,10.0,8.0,9.0,A religious person,5.0,Female,1985.0,35.0,Married,Homemaker not otherwise employed
CAN,124075391,3.0,3.0,2.0,2.0,8.0,8.0,9.0,An atheist,4.0,Male,1949.0,71.0,Separated,Retired/pensioned
CAN,124075393,1.0,1.0,2.0,2.0,9.0,9.0,7.0,An atheist,4.0,Male,1991.0,29.0,Married,Full time
CAN,124075394,1.0,1.0,1.0,1.0,8.0,7.0,6.0,Not a religious person,7.0,Male,2000.0,20.0,Living together as married,Retired/pensioned
CAN,124075395,1.0,2.0,2.0,1.0,8.0,7.0,7.0,Not a religious person,6.0,Male,1985.0,35.0,Married,Full time
CAN,124075396,1.0,2.0,2.0,2.0,8.0,6.0,6.0,Not a religious person,9.0,Male,1958.0,62.0,Married,Retired/pensioned
CAN,124075397,1.0,3.0,2.0,1.0,7.0,8.0,6.0,An atheist,7.0,Male,1958.0,62.0,Married,Full time
CAN,124075399,1.0,2.0,2.0,2.0,8.0,8.0,6.0,A religious person,6.0,Female,1954.0,66.0,Living together as married,Retired/pensioned
CAN,124075404,3.0,4.0,2.0,2.0,8.0,7.0,7.0,Not a religious person,6.0,Male,1960.0,60.0,Living together as married,Unemployed
CAN,124075407,1.0,1.0,2.0,2.0,5.0,6.0,4.0,A religious person,6.0,Female,1965.0,54.0,Single,Homemaker not otherwise employed
CAN,124075408,1.0,1.0,1.0,3.0,4.0,4.0,3.0,Not a religious person,3.0,Female,1951.0,69.0,Living together as married,Retired/pensioned
CAN,124075409,1.0,2.0,2.0,2.0,5.0,6.0,4.0,Not a religious person,5.0,Female,1968.0,52.0,Separated,Full time
CAN,124075410,1.0,2.0,3.0,4.0,8.0,7.0,9.0,Not a religious person,5.0,Male,1951.0,68.0,Married,Retired/pensioned
CAN,124075412,1.0,2.0,2.0,2.0,10.0,8.0,9.0,Not a religious person,5.0,Female,1977.0,42.0,Separated,Part time
CAN,124075413,1.0,2.0,2.0,2.0,10.0,8.0,8.0,A religious person,5.0,Male,1960.0,59.0,Married,Full time
